,code,trade_day,name,volume,close,increase_ratio,previous_close,previous_volume,ma_5_volume
0,603777,2025-02-10,来伊份,369378,16.030,3.353,15.510,307913,314346
1,603637,2025-02-10,镇海股份,138958,8.910,3.244,8.630,91982,94541
2,603276,2025-02-10,恒兴新材,36373,14.400,3.672,13.890,21068,22860
3,603191,2025-02-10,望变电气,298425,14.850,4.211,14.250,184694,212118
4,600858,2025-02-10,银座股份,411055,5.500,4.762,5.250,327887,340246
5,600778,2025-02-10,友好集团,464307,6.920,3.748,6.670,288193,298281
6,600679,2025-02-10,上海凤凰,201133,13.220,4.671,12.630,154985,164296
7,301262,2025-02-10,海看股份,63139,27.310,4.676,26.090,31375,32320
8,301259,2025-02-10,艾布鲁,45655,49.600,4.245,47.580,33410,34482
9,301189,2025-02-10,奥尼电子,26675,25.380,3.592,24.500,15967,16066
10,300961,2025-02-10,深水海纳,82924,10.260,4.694,9.800,58573,62496
11,300795,2025-02-10,米奥会展,136517,21.100,4.819,20.130,99904,105012
12,300703,2025-02-10,创源股份,228643,16.020,3.689,15.450,195511,197760
13,300645,2025-02-10,正元智慧,76708,16.320,4.817,15.570,55726,55860
14,300586,2025-02-10,美联新材,287040,8.640,3.473,8.350,114998,139984
15,300528,2025-02-10,幸福蓝海,248179,9.150,4.931,8.720,208877,209925
16,300139,2025-02-10,晓程科技,356086,17.780,3.013,17.260,327038,334755
17,002931,2025-02-10,锋龙股份,98109,16.860,4.720,16.100,64939,72238
18,002820,2025-02-10,桂发祥,189621,11.860,4.310,11.370,150298,170520
19,002562,2025-02-10,兄弟科技,371268,4.450,3.488,4.300,228069,235585
20,002112,2025-02-10,三变科技,472628,13.780,4.950,13.130,450321,453053
